Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2019-01-03,Seekify,2019,Delhi,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding,2019,Technology
2019-01-12,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E,2019,Consumables
2019-01-15,Cuemath,2013,Bangalore,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series A,2019,Education
2019-01-17,HappyEasyGo,2017,Gurugram,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019,Logistics
2019-01-21,Springboard,2013,Bangalore,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Post series A,2019,Education
2019-01-23,Zebu,2015,Bangalore,Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed round,2019,Other
2019-01-24,TapChief,2016,Bangalore,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre series A,2019,Technology
2019-01-25,Licious,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019,Consumables
2019-01-27,Pumpkart,2014,Chandigarh,KS Bhatia,Dinesh Dua,6000000.0,Series A,2019,E-Commerce
2019-01-28,DROR Labs Pvt. Ltd,2018,Delhi,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,6000000.0,Series A,2019,Technology
2019-01-29,Bombay Shaving,2015,Bangalore,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Series A,2019,E-Commerce
2019-01-31,Pristyn Care,2018,Bangalore,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019,Automotive
2019-02-04,Ola,2010,Bangalore,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Series A,2019,Logistics
2019-02-15,SalaryFits,2015,Bangalore,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Series A,2019,FinTech
2019-02-24,HungerBox,2015,Bangalore,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019,Consumables
2019-02-25,eJOHRI,2015,Mumbai,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre series A,2019,Other
2019-02-28,Froogal,2015,Hyderabad,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre series A,2019,Marketing
2019-03-06,Ecozen,2015,Pune,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019,Technology
2019-03-11,Origo,2010,Gurugram,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Series A,2019,Technology
2019-03-11,CarDekho,2008,Jaipur,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019,Automotive
2019-03-22,Shadowfax,2015,Bangalore,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019,Logistics
2019-04-01,FlytBase,2015,Pune,Nitin Gupta,Undisclosed,6000000.0,Series A,2019,Technology
2019-04-01,Afinoz,2015,Noida,Rachna Suneja,Fintech innovation lab,6000000.0,Series A,2019,FinTech
2019-04-06,Binca Games,2014,Mumbai,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,6000000.0,Series A,2019,Gaming
2019-04-06,Zolostays,2015,Bangalore,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Series A,2019,Real Estate
2019-04-08,Bijak,2019,Bangalore,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund,2019,Technology
2019-04-09,Medlife,2014,Bangalore,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Series A,2019,Healthcare
2019-04-18,Appnomic,2015,Bangalore,D Padmanabhan,Avataar Ventures,22000000.0,Series A,2019,Technology
2019-04-23,Azah Personal Care Pvt. Ltd.,2018,Gurugram,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",6000000.0,Pre series A,2019,Healthcare
2019-04-25,Kratikal,2013,Noida,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019,Technology
2019-04-30,LivFin,2017,Delhi,Rakesh Malhotra,German development finance institution DEG,5000000.0,Series A,2019,FinTech
2019-04-30,PiBeam,2015,Chennai,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Series A,2019,Automotive
2019-05-03,Euler Motors,2015,Delhi,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Series A,2019,Automotive
2019-05-03,KredX,2015,Bangalore,Manish Kumar,Tiger Global Management,26000000.0,Series B,2019,Technology
2019-05-14,Ess Kay Fincorp,2015,Rajasthan,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Series A,2019,Finance
2019-05-15,Kaleidofin,2018,Chennai,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A,2019,FinTech
2019-05-16,Observe.AI,2015,Bangalore,Swapnil,Scale Venture Partners,26000000.0,Series A,2019,Technology
2019-05-21,Asteria Aerospace,2011,Bangalore,"Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Series A,2019,Technology
2019-05-28,Trell,2016,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019,Media/Entertainment
2019-05-30,Purplle,2012,Mumbai,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000.0,Series C,2019,Wellness/Beauty
2019-06-01,MyGameMate,2015,Bangalore,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000.0,Series A,2019,Gaming
2019-06-05,Freshokartz,2016,Jaipur,Rajendra Lora,ThinkLab,150000.0,Pre series A,2019,E-Commerce
2019-06-10,Slintel,2016,Bangalore,Deepak Anchala,Stellaris Ventures,1500000.0,Series A,2019,Technology
2019-06-12,IndyFint,2019,Bangalore,Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A,2019,FinTech
2019-06-17,Zetwerk,2018,Bangalore,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019,Manufacture
2019-06-18,truMe,2015,Bangalore,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Series A,2019,Technology
2019-06-18,Oyo,2013,Gurugram,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Series A,2019,Hospitality
2019-06-19,Sportido,2015,Noida,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",6000000.0,Series B,2019,Gaming
2019-06-21,Toffee Insurance,2017,Haryana,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A,2019,Finance
2019-06-24,Lil’ Goodness and sCool meal,2015,Bangalore,"Vivek Gupta, Abhay Hanjura","Sajan Pillai, Muthu Krishnan,",400000.0,Series A,2019,Consumables
2019-06-29,JobSquare,2019,Ahmedabad,Ishit Jethwa,Titan Capital,140500.0,Series A,2019,Technology
2019-07-01,Bombay Shirt Company,2012,Mumbai,Akshay Narvekar,Lightbox Ventures,8000000.0,Series A,2019,E-Commerce
2019-07-14,Finly,2015,Bangalore,"Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",6000000.0,Series A,2019,Technology
2019-07-22,Witblox,2014,Bangalore,Amit Modi,Mumbai Angels Network,182700.0,Series A,2019,Education
2019-07-22,Smart Institute,2015,Surat,"Vivek Gupta, Abhay Hanjura",HNI investors,1500000.0,Series A,2019,Education
2019-07-24,Zest Money,2015,Bangalore,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B,2019,FinTech
2019-08-04,Ninjacart,2015,Bangalore,"Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",6000000.0,Series A,2019,E-Commerce
2019-08-04,Box8,2011,Mumbai,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000.0,Series A,2019,Consumables
2019-08-11,Ruangguru,2014,Mumbai,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C,2019,Education
2019-08-21,Awign Enterprises,2016,Bangalore,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019,Other
2019-08-25,Kratikal,2015,Uttar pradesh,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019,Technology
2019-09-04,Rivigo,2014,Bangalore,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019,Logistics
2019-09-06,Byju's,2011,Bangalore,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Series A,2019,Education
2019-09-18,Zoomcar,2013,Bangalore,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Series A,2019,Logistics
2019-09-19,Fireflies .ai,2015,Bangalore,Sam Udotong,Canaan Partners,5000000.0,Series A,2019,Technology
2019-09-19,Cubical Labs,2013,Bangalore,"Dhruv Ratra, Swati Vyas",Rockstud Capital,6000000.0,Series B,2019,Technology
2019-09-20,Nivesh.com,2016,Noida,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Series A,2019,Finance
2019-09-21,GoMechanic,2016,Delhi,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019,Automotive
2019-09-24,Stanza Living,2017,Delhi,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Series A,2019,Real Estate
2019-10-01,Moms Co,2015,New Delhi,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019,E-Commerce
2019-10-18,m.Paani,2015,Mumbai,Akanksha Hazari,"AC Ventures, Henkel",5500000.0,Series A,2019,E-Commerce
2019-10-18,Lenskart,2010,Delhi,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Series G,2019,E-Commerce
2019-10-20,Phable,2018,Bangalore,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Series A,2019,Healthcare
2019-10-22,Open Secret,2015,Bangalore,"Ahana Gautam, Udit Kejriwal",Matrix Partners,6000000.0,Series A,2019,Consumables
2019-10-26,Spinny,2015,Delhi,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Series A,2019,Automotive
2019-10-28,VMate,2015,Bangalore,"Vivek Gupta, Abhay Hanjura",Alibaba,100000000.0,Series A,2019,Media/Entertainment
2019-11-02,Quantiphi,2015,Bangalore,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A,2019,Technology
2019-11-13,Lawyered,2015,Delhi,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Series A,2019,Technology
2019-11-23,Infra.Market,2015,Mumbai,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019,Technology
2019-12-02,Cub McPaws,2010,Mumbai,"Abhay Bhat, Kinnar Shah",Venture Catalysts,6000000.0,Series A,2019,E-Commerce
2019-12-08,Credr,2014,Mumbai,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Series A,2019,Automotive
2019-12-11,WishADish,2015,Delhi,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Series A,2019,Consumables
2019-12-11,HomeLane,2014,Chennai,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019,Real Estate
2019-12-12,Freightwalla,2017,Mumbai,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019,E-Commerce
2019-12-16,Eduisfun,2015,Mumbai,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019,Education
2019-12-17,Sarva,2015,Chennai,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Series A,2019,Wellness/Beauty
2019-12-25,Rein Games,2015,Noida,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019,Technology
2019-12-30,Ecom Express,2012,Gurugram,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000.0,Series A,2019,Logistics
2019-12-31,Nu Genes,2004,Telangana,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Series A,2019,Technology
